Orders.id,Orders.subtotal,Orders.tax,Orders.shipping,Orders.total,Orders.shipping_method,Orders.payment_status,Orders.payment_date,Orders.payment_type,Orders.payment_amount,Orders.status,Orders.customer_type
3758,57.2,0.0,9.95,64.29,2,3.0,1426019099.0,2,64.29,1,0.0
23,20.0,0.8,9.99,29.99,2,3.0,1386090455.0,2,29.99,1,0.0
9531,68.78,0.0,9.95,78.73,1,3.0,1449603652.0,2,78.73,3,0.0
29,19.56,0.0,9.95,29.55,2,3.0,1386780263.0,0,29.55,1,0.0
30,36.05,0.8,9.95,46.0,2,3.0,1386861599.0,0,46.0,1,0.0
226,44.46,0.8,9.95,54.41,2,0.0,1461860000.0,0,134.84,1,0.0
1658,14.63,0.8,9.95,24.58,2,3.0,1410363655.0,0,24.58,1,0.0
32,39.19,0.0,9.95,49.14,2,3.0,1388155947.0,0,49.14,1,0.0
40,59.75,0.0,9.95,69.7,1,3.0,1389647443.0,0,69.7,1,0.0
70,34.0,0.0,9.95,34.0,1,3.0,1390509774.0,0,34.0,1,0.0
74,34.0,0.0,9.95,34.0,1,3.0,1395248081.0,0,34.0,1,0.0
76,21.52,0.8,9.95,31.47,2,3.0,1390613419.0,2,31.47,1,0.0
88,118.68,0.0,9.95,118.68,2,3.0,1390856041.0,2,118.68,1,0.0
88,118.68,0.0,9.95,118.68,2,3.0,1390856041.0,2,118.68,1,0.0
3572,75.62,0.8,9.95,85.57,2,3.0,1424205989.0,2,85.57,1,0.0
99,339.99,0.0,9.99,349.98,1,3.0,1391012343.0,0,349.98,1,0.0
105,18.94,0.8,9.95,28.89,2,3.0,1391363004.0,2,28.89,1,0.0
307,119.7,0.0,9.95,119.7,2,3.0,1395348643.0,2,119.7,1,0.0
111,34.0,0.0,9.95,34.0,1,3.0,1391621141.0,0,34.0,1,0.0
117,13.68,0.8,9.95,23.63,2,3.0,1391815072.0,2,23.63,1,0.0
118,81.48,0.8,9.95,91.43,2,3.0,1391896879.0,2,91.43,1,0.0
663,59.92,0.8,9.95,69.87,2,3.0,1401262778.0,2,69.87,1,0.0
663,59.92,0.8,9.95,69.87,2,3.0,1401262778.0,2,69.87,1,0.0
3132,122.22,0.0,9.95,132.17,1,3.0,1420600800.0,2,132.17,1,0.0
121,29.38,0.0,9.95,39.33,2,3.0,1392048505.0,0,39.33,1,0.0
122,35.0,0.0,9.95,35.0,1,3.0,1392048678.0,0,35.0,1,0.0
123,35.0,0.0,9.95,35.0,1,0.0,1461860000.0,0,134.84,1,0.0
124,17.88,0.0,9.95,18.39,2,3.0,1392133600.0,0,18.39,1,0.0
236,17.88,0.0,9.95,18.39,2,3.0,1394545155.0,0,18.39,1,0.0
393,17.88,0.0,7.14,18.39,2,3.0,1396533468.0,0,18.39,1,0.0
534,17.88,0.0,9.95,18.39,2,3.0,1399644370.0,0,18.39,1,0.0
651,17.88,0.0,0.51,18.39,2,3.0,1401054740.0,0,18.39,1,0.0
772,17.88,0.0,0.51,18.39,2,3.0,1402326422.0,0,18.39,1,0.0
957,17.88,0.0,9.95,18.39,2,3.0,1404226635.0,0,18.39,1,0.0
306,47.85,0.0,9.95,54.91,1,3.0,1395336674.0,0,57.8,3,0.0
306,47.85,0.0,9.95,54.91,1,3.0,1395336674.0,0,57.8,3,0.0
306,47.85,0.0,9.95,54.91,1,3.0,1395336674.0,0,57.8,3,0.0
133,35.0,0.0,9.95,35.0,1,3.0,1392311828.0,0,35.0,1,0.0
