Products.status,Products.vendor,Products.list_price,Products.price,Products.cost,Products.Shop_Brn
0.0,1.0,80.7,57.64,44.0,1
1.0,1.0,14.41,10.29,1.87,1
0.0,1.0,96.29,68.78,52.5,1
0.0,1.0,27.38,19.56,12.62,1
1.0,1.0,50.47,36.05,25.75,0
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,54.87,39.19,27.99,1
0.0,1.0,84.29,60.21,45.96,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,21.71,15.51,2.82,1
0.0,1.0,60.28,43.06,31.2,1
0.0,1.0,52.93,37.81,27.01,1
0.0,1.0,52.93,37.81,27.01,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,13.17,9.41,1.71,1
0.0,1.0,57.04,40.74,29.1,1
0.0,1.0,49.73,35.52,25.37,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,57.04,40.74,29.1,1
0.0,1.0,41.13,29.38,20.26,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,34.43,24.59,4.47,1
3.0,1.0,34.43,24.59,4.47,1
3.0,1.0,34.43,24.59,4.47,1
3.0,1.0,34.43,24.59,4.47,1
3.0,1.0,34.43,24.59,4.47,1
3.0,1.0,34.43,24.59,4.47,1
3.0,1.0,34.43,24.59,4.47,1
0.0,1.0,30.81,22.01,14.2,1
3.0,1.0,25.8,18.43,3.35,1
3.0,1.0,23.95,17.11,3.11,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,133.0,57.22,43.68,1
0.0,1.0,49.0,35.0,25.0,1
3.0,1.0,9.39,6.71,1.22,1
1.0,1.0,24.11,17.22,11.11,0
0.0,1.0,162.81,116.29,84.27,1
0.0,1.0,26.6,19.0,12.26,1
0.0,1.0,109.13,77.95,59.5,1
3.0,1.0,134.39,95.99,50.03,0
3.0,1.0,8.78,6.27,1.14,1
0.0,1.0,43.48,31.06,21.42,1
0.0,1.0,54.87,39.19,27.99,1
1.0,1.0,42.0,30.0,20.69,1
2.0,1.0,27.54,19.67,12.69,1
0.0,1.0,61.0,43.57,31.57,1
3.0,1.0,22.11,15.79,2.87,0
0.0,1.0,34.09,24.35,15.71,1
0.0,1.0,87.5,42.02,30.45,1
3.0,1.0,20.92,14.94,4.82,0
3.0,1.0,27.41,19.58,3.56,0
3.0,1.0,26.39,18.85,6.08,0
1.0,1.0,206.88,147.77,107.47,0
0.0,1.0,34.09,24.35,15.71,1
3.0,1.0,9.39,6.71,1.22,1
0.0,1.0,32.48,23.2,16.0,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,75.78,54.13,41.32,1
0.0,1.0,18.69,13.35,7.63,1
0.0,1.0,65.52,46.8,33.91,1
0.0,1.0,65.52,46.8,33.91,1
0.0,1.0,56.83,40.59,28.99,1
0.0,1.0,65.52,46.8,33.91,1
0.0,1.0,211.05,150.75,120.6,1
0.0,1.0,65.52,46.8,33.91,1
0.0,1.0,47.45,33.89,24.21,1
3.0,1.0,279.99,199.99,97.0,1
2.0,2.0,28.47,28.49,19.65,0
0.0,1.0,43.32,30.94,21.34,1
0.0,1.0,17.44,12.46,7.12,0
1.0,1.0,42.0,30.0,20.69,1
0.0,2.0,159.98,68.89,52.99,0
0.0,1.0,93.52,66.8,50.99,1
0.0,1.0,73.01,52.15,37.79,1
2.0,1.0,376.25,299.0,215.0,1
0.0,1.0,48.59,34.71,23.94,1
0.0,1.0,35.01,25.01,17.25,1
0.0,1.0,43.32,30.94,21.34,1
0.0,1.0,43.32,30.94,21.34,1
0.0,1.0,43.32,30.94,21.34,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,27.41,19.58,3.56,0
0.0,1.0,37.04,26.46,18.25,1
0.0,1.0,122.64,87.6,66.87,0
0.0,1.0,53.45,38.18,27.27,1
0.0,1.0,52.77,37.69,26.92,1
0.0,1.0,52.77,37.69,26.92,1
0.0,1.0,52.77,37.69,26.92,1
0.0,1.0,52.77,37.69,26.92,1
0.0,1.0,122.5,52.79,38.25,0
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,115.26,82.33,62.85,1
3.0,1.0,16.72,11.94,2.17,1
3.0,1.0,16.72,11.94,2.17,1
3.0,1.0,16.72,11.94,2.17,1
0.0,1.0,309.75,221.25,177.0,1
0.0,1.0,309.75,221.25,177.0,1
0.0,1.0,309.75,221.25,177.0,1
0.0,1.0,26.33,18.81,10.75,1
0.0,1.0,25.21,18.01,10.29,1
0.0,1.0,128.09,91.49,70.38,1
3.0,1.0,6.09,4.35,0.79,1
2.0,1.0,42.63,30.45,21.0,1
0.0,1.0,37.13,26.52,18.29,1
2.0,1.0,42.63,30.45,21.0,1
2.0,1.0,42.63,30.45,21.0,1
2.0,1.0,42.63,30.45,21.0,1
0.0,1.0,38.61,27.58,19.02,1
0.0,1.0,56.84,40.6,29.0,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,47.98,34.27,24.48,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,102.06,72.9,55.65,1
3.0,1.0,33.11,23.65,15.5,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,34.16,24.4,16.83,1
0.0,2.0,207.97,88.67,70.37,0
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,70.01,50.01,36.24,0
3.0,1.0,279.99,199.99,97.0,1
0.0,2.0,185.12,88.91,70.56,0
0.0,1.0,32.27,23.05,14.87,1
0.0,1.0,34.16,24.4,16.83,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,34.16,24.4,16.83,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,77.85,55.61,42.45,1
0.0,1.0,162.4,116.0,84.06,1
0.0,2.0,159.98,68.89,52.99,0
0.0,2.0,36.37,27.17,18.74,0
0.0,2.0,36.37,27.17,18.74,0
0.0,2.0,36.37,27.17,18.74,0
3.0,1.0,371.46,265.33,212.26,1
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,42.63,30.45,21.0,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,81.62,58.3,22.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,205.98,147.13,107.0,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,17.44,12.46,7.12,0
0.0,1.0,127.47,91.05,69.5,1
0.0,1.0,36.41,26.01,17.94,1
0.0,1.0,114.25,81.61,62.3,1
0.0,1.0,79.32,56.66,43.25,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,279.99,199.99,97.0,1
3.0,1.0,279.99,199.99,97.0,1
0.0,2.0,155.97,59.05,43.74,0
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,29.08,20.77,13.4,1
0.0,2.0,159.98,68.89,52.99,0
0.0,1.0,35.01,25.01,17.25,1
0.0,2.0,207.97,88.67,70.37,0
0.0,1.0,140.14,100.1,77.0,1
3.0,1.0,446.66,319.04,255.23,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,34.16,24.4,16.83,1
0.0,2.0,36.37,27.17,18.74,0
3.0,1.0,205.98,147.13,107.0,1
0.0,2.0,36.37,27.17,18.74,0
3.0,1.0,265.99,189.99,152.0,1
0.0,1.0,309.75,221.25,177.0,1
0.0,1.0,74.14,53.5,40.43,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,175.81,129.99,91.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,279.99,199.99,97.0,1
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,17.18,12.27,2.23,1
0.0,1.0,43.48,31.06,21.42,1
0.0,1.0,34.16,24.4,16.83,1
2.0,2.0,85.67,45.89,33.25,0
0.0,1.0,17.44,12.46,7.12,0
0.0,1.0,20.48,14.63,8.36,1
3.0,1.0,134.39,95.99,50.03,0
0.0,1.0,34.16,24.4,16.83,1
0.0,2.0,259.97,125.99,99.99,0
0.0,1.0,77.85,55.61,42.45,1
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,265.99,189.99,152.0,1
0.0,2.0,1805.4,692.49,553.99,0
0.0,1.0,59.89,42.78,31.0,1
0.0,1.0,59.89,42.78,31.0,1
0.0,1.0,59.89,42.78,31.0,1
0.0,1.0,59.89,42.78,31.0,1
3.0,1.0,265.99,189.99,152.0,1
0.0,1.0,44.66,31.9,22.0,1
0.0,2.0,194.97,77.99,59.99,0
0.0,2.0,67.5,41.75,30.25,0
3.0,1.0,175.81,129.99,91.0,1
0.0,2.0,159.98,68.89,52.99,0
0.0,1.0,50.67,36.19,25.85,1
0.0,1.0,81.16,57.97,44.25,1
0.0,1.0,59.25,42.32,30.67,1
3.0,1.0,5.01,3.58,0.65,1
3.0,1.0,6.55,4.68,0.85,1
3.0,1.0,15.64,11.17,2.03,1
3.0,1.0,7.78,5.56,1.01,1
3.0,1.0,134.39,95.99,50.03,0
0.0,1.0,23.03,16.45,9.4,1
0.0,1.0,23.03,16.45,9.4,1
3.0,1.0,7.78,5.56,1.01,1
0.0,1.0,23.03,16.45,9.4,1
0.0,1.0,17.44,12.46,7.12,0
0.0,1.0,17.44,12.46,7.12,0
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,28.18,20.13,12.99,1
3.0,2.0,105.0,73.06,56.2,0
3.0,2.0,5891.5,1475.0,1049.0,0
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,231.0,165.0,132.0,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,121.68,74.27,52.32,0
3.0,1.0,288.75,206.25,165.0,1
0.0,1.0,77.85,55.61,42.45,1
0.0,1.0,55.86,39.9,28.5,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,162.81,116.29,84.27,1
1.0,1.0,25.41,18.15,3.3,1
0.0,1.0,80.35,57.39,43.81,0
0.0,1.0,34.16,24.4,16.83,1
3.0,1.0,175.81,129.99,91.0,1
0.0,1.0,226.58,168.0,119.0,1
0.0,2.0,159.98,68.89,52.99,0
0.0,1.0,19.07,13.62,7.78,1
0.0,1.0,17.91,12.79,7.31,0
3.0,1.0,288.75,206.25,165.0,1
0.0,1.0,78.34,55.96,42.72,0
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,1.0,122.54,87.53,66.82,1
0.0,2.0,81.43,36.04,25.74,0
3.0,1.0,29.3,20.93,6.75,0
0.0,2.0,155.97,59.05,43.74,0
0.0,1.0,55.85,39.89,28.49,1
0.0,1.0,50.02,35.73,25.52,1
0.0,1.0,50.02,35.73,25.52,1
0.0,1.0,50.02,35.73,25.52,1
0.0,1.0,50.02,35.73,25.52,1
0.0,1.0,231.0,165.0,132.0,1
0.0,2.0,159.98,68.89,52.99,0
3.0,1.0,265.99,189.99,152.0,1
0.0,2.0,15.99,18.91,12.2,0
0.0,1.0,71.09,50.78,36.8,1
0.0,1.0,71.09,50.78,36.8,1
0.0,1.0,34.16,24.4,16.83,1
0.0,1.0,37.76,26.97,18.6,1
3.0,1.0,175.81,129.99,91.0,1
3.0,1.0,265.99,189.99,152.0,1
3.0,1.0,265.99,189.99,152.0,1
0.0,1.0,43.48,31.06,21.42,1
3.0,1.0,175.81,129.99,91.0,1
3.0,1.0,175.81,129.99,91.0,1
0.0,2.0,469.56,181.81,143.16,0
0.0,1.0,27.23,19.45,12.55,0
0.0,1.0,47.64,34.03,23.47,1
0.0,2.0,36.37,27.17,18.74,0
0.0,2.0,159.98,68.89,52.99,0
0.0,2.0,153.37,60.4,44.74,0
0.0,1.0,115.26,82.33,62.85,1
0.0,2.0,259.97,125.99,99.99,0
0.0,1.0,106.9,76.36,58.29,1
0.0,1.0,18.84,13.46,7.69,1
0.0,1.0,34.16,24.4,16.83,1
3.0,1.0,9.39,6.71,1.22,1
0.0,2.0,335.4,167.11,131.58,0
0.0,2.0,155.97,60.4,44.74,0
0.0,1.0,121.68,74.27,52.32,0
1.0,1.0,14.01,10.01,1.82,1
3.0,1.0,9.39,6.71,1.22,1
3.0,1.0,175.81,129.99,91.0,1
0.0,1.0,17.42,12.44,7.11,1
0.0,1.0,49.0,35.0,25.0,1
0.0,1.0,43.48,31.06,21.42,1
0.0,2.0,49.27,35.0,25.0,0
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,123.37,88.12,67.27,1
3.0,1.0,393.75,281.25,225.0,1
0.0,2.0,171.57,59.54,44.1,0
3.0,1.0,265.99,189.99,152.0,1
0.0,2.0,420.42,195.89,156.71,0
3.0,2.0,1820.0,736.25,589.0,0
0.0,2.0,335.4,167.11,131.58,0
0.0,1.0,82.42,58.87,44.94,0
0.0,1.0,82.42,58.87,44.94,0
0.0,1.0,82.42,58.87,44.94,0
0.0,1.0,82.42,58.87,44.94,0
0.0,2.0,36.37,27.17,18.74,0
0.0,1.0,78.13,55.81,42.6,1
0.0,1.0,121.68,74.27,52.32,0
0.0,1.0,74.7,53.36,38.67,1
3.0,1.0,28.18,20.13,12.99,1
0.0,1.0,71.19,50.85,36.85,1
0.0,1.0,71.19,50.85,36.85,1
2.0,2.0,39.64,28.18,20.13,0
0.0,1.0,97.8,69.86,53.33,1
